# Constructed from biom file
#OTU ID	S2406	S2408	S2419	S2421
cbe01058b367154bc3b0a947b1af6473	0.0	90.0	0.0	0.0
5e65279ad75c79b31bd08124befd8e12	24.0	22.0	21.0	22.0
e615d92532e31cb28b9c719d79ecfcac	0.0	34.0	23.0	30.0
b17499a513e0ba3b59ecf4450b6d4309	52.0	18.0	8.0	8.0
bf1565d610f9a53aee2bd6eec9a77407	20.0	24.0	11.0	31.0
32b9408bbc7de60c49e56afe8b9ebfd1	15.0	25.0	16.0	29.0
e33d88c65215b830e19c7b90a8c3bc82	5.0	32.0	39.0	9.0
37c3679293c46decc9a33a6554213428	21.0	19.0	18.0	26.0
933501d3fe3b9ca7dd89ee74f761b5ed	36.0	46.0	0.0	0.0
1d1e60ffed0f147b1d6f9a46204beb7e	25.0	19.0	21.0	17.0
bfafd56f9c2a57b22609dd0eabe258be	22.0	19.0	18.0	20.0
ea71206b2a569022e2e83fd0598158f0	0.0	0.0	78.0	0.0
5648dccee530d68ceb3e4d7d22cf8756	77.0	0.0	0.0	0.0
e905ab6db6d1e8623c8cab16ae39140d	23.0	19.0	23.0	12.0
d323a289535bfe0b325c892076518237	18.0	28.0	11.0	19.0
4c711dabe834aeea42d3b4e4aac7f6c7	13.0	39.0	0.0	22.0
0a420944f008698427b233d3ce383d7d	15.0	19.0	0.0	36.0
0eeb064e5a151660e9d9357630f1313a	13.0	23.0	17.0	17.0
3bd829b0c3a7d6eb1d8e2858add96198	33.0	0.0	36.0	0.0
12a18af1e6cf3893b9c2ed124d9539b7	10.0	15.0	19.0	25.0
77d40116daf890397f3564502e2e0be0	17.0	13.0	23.0	15.0
d9ea4882da1f3c8d3f9e7bfbed142aa1	0.0	0.0	39.0	28.0
83da29b695300a633dd24c68b3c8e373	0.0	34.0	14.0	17.0
d269a2c628cd471e2e9b3c4f499435a3	18.0	14.0	11.0	21.0
300400cf234ff48c401161afaf81acd8	34.0	28.0	0.0	0.0
3667ec5bd3c6b861b9cba96464677a41	23.0	14.0	0.0	25.0
e081cac98572e7e30b598e315e222153	18.0	14.0	5.0	24.0
ed0e5556c6d7e9472e5020941f12ba06	0.0	0.0	24.0	37.0
279b646c51f6601e408c03b2e5d77617	16.0	9.0	11.0	22.0
f99ccaaf35afbf4166f84ccb6c357d31	19.0	0.0	0.0	38.0
d79df85d2159ead9f9382a88c452ca06	17.0	0.0	17.0	23.0
5c9f7e37a09cce779070ad269b7df496	12.0	10.0	9.0	25.0
317865ea6c50e83c72a4d779d02d8b58	0.0	13.0	17.0	25.0
77edfe47600417a563ca9bef68917fa9	54.0	0.0	0.0	0.0
de6776ff5bc07ec78768337a7454008f	24.0	0.0	16.0	14.0
e595708f23d42d847600015f23c0faaf	30.0	12.0	0.0	11.0
ee7a66fa18009467bcbfc6be04a10ca3	10.0	18.0	16.0	9.0
2a35c512cab46a94c90dafc9248a121f	9.0	16.0	0.0	28.0
32694e17896d4fc2fe49a409b3fec7cb	52.0	0.0	0.0	0.0
4f323db9b7e35289b6d9f0bc10795e74	11.0	14.0	9.0	18.0
b8c4ed03d7d91546b9f6ad80b80135a3	10.0	14.0	13.0	15.0
4c687e9abe11199b993e2ab668384d5c	10.0	13.0	11.0	18.0
88201b0785111433f3cebc8e171e11f4	0.0	14.0	0.0	38.0
0ce51d2de5507edbeef6b4dd114e9447	12.0	15.0	0.0	24.0
2cd79e3d385b69f0320c69af53883c9b	10.0	31.0	0.0	10.0
635ad2b9ccd4fb9d905b58de1bba64d3	0.0	18.0	0.0	33.0
a7224b3089f362b0b226ebf99f7b3fe3	50.0	0.0	0.0	0.0
3a0b2f8a1987a1cbf794dba729426a51	41.0	0.0	9.0	0.0
e83f91a8f6a4ca8482b23084c4cbf513	11.0	39.0	0.0	0.0
720d4078e826dfc712765a2d765cb740	31.0	0.0	18.0	0.0
bb7b6d76f2e9497a2fc5b542a168c9b4	23.0	0.0	12.0	14.0
d99a0b2472cd7caecdd8d63ac9cb3fdf	14.0	19.0	0.0	16.0
53a523f9d28d11caf83f2920aeade755	13.0	12.0	11.0	11.0
0c8d7a81f733f47e124bc8797e5d3554	12.0	15.0	0.0	20.0
a1c4acc3169c2a95cf474a3645129d84	8.0	0.0	12.0	27.0
4162f5ce153426c9b818a282aab2a162	14.0	9.0	6.0	17.0
337204fe06dbfeef4a0a9bc3217e85fc	35.0	10.0	0.0	0.0
1212bbb3bcd65d0dd186dd8f35a56827	13.0	12.0	5.0	15.0
dc6a9b40d143c9742addd6a0000e3745	5.0	6.0	33.0	0.0
e16d86b7fe770de88e7e8fd0fb6c8b5a	0.0	20.0	0.0	24.0
4b95d649f2f281c6e49ed7dfd58385fe	42.0	0.0	0.0	0.0
4804669ff00c7ec682696fdd03d60923	14.0	9.0	5.0	14.0
c3297668cf75ea8e774d6d9c0044cce4	30.0	0.0	11.0	0.0
132ffe9a542685a423a59236950b46b0	12.0	0.0	11.0	18.0
6634d300e4952dd095ced5c3b8a310c6	12.0	13.0	8.0	8.0
c84385f35ae776ba62008b35c1864bf1	28.0	0.0	11.0	0.0
d509da03e98d55c0452ea4e5e6a44081	12.0	0.0	14.0	13.0
02e10fbb06250a6cec1cc7d696cef6f4	0.0	0.0	22.0	17.0
2d6e7a4fad252e4911e5bb10f02c94b7	0.0	10.0	17.0	11.0
aa1344ee7f73eea98bafee4c93f32c84	0.0	10.0	18.0	10.0
396c2d79acbe8883549b9049dddce9fb	0.0	0.0	38.0	0.0
1f12e85f00d24c2a327f7ca545082118	9.0	10.0	10.0	8.0
0f1b1b6a7585f4586a09eff410aa7ad1	0.0	14.0	0.0	22.0
475466b882ed396887ccb3af92e5cccc	9.0	7.0	19.0	0.0
8562afaf3955423d4eda6d71b8b277d8	0.0	0.0	11.0	24.0
7d76c5a8f653ab2d7a14a28f3806b5bf	34.0	0.0	0.0	0.0
4cf346f17649d1855daa0225bf185454	13.0	11.0	0.0	10.0
e79408e5459ed023ffd08cb993aa8954	0.0	27.0	0.0	7.0
394157a95af250dff691f8a21a3a06ea	15.0	18.0	0.0	0.0
48614761ce9f74eaae5dc1d3a26cd6ae	0.0	33.0	0.0	0.0
8599524cec26e00cc7df72e7ecc01220	0.0	0.0	0.0	33.0
2599030bfe9f49df58ddb9b37bbbe549	23.0	0.0	0.0	9.0
e8bd5a5228cd426c496dcd50f6dad542	0.0	14.0	8.0	10.0
7d84bf43bb7d4d30f0820b57dcf7baa8	11.0	0.0	20.0	0.0
e34d5bca2c7669fab8b0e5d8321714f0	10.0	8.0	0.0	13.0
c4a485f6d9ed3aa93e2590b2e7abbdbe	9.0	0.0	12.0	10.0
9f6496504e6c9c4b0547e33f8588c57b	0.0	14.0	0.0	17.0
43df5336649f0b3362be36b49c6490d5	7.0	10.0	4.0	9.0
c1abe6a2dc8962f8a3ea9f88fc1b56c1	12.0	9.0	0.0	8.0
7b7c6c4ece61524547ee7dbc94130103	6.0	11.0	4.0	8.0
fbca635799dc1ba7f986123a737ee165	4.0	17.0	0.0	8.0
5cf37e80516a615f77bd5e97f18ae417	0.0	29.0	0.0	0.0
2e4a2e5ad75f2d321aadefddacb2fca7	0.0	16.0	0.0	13.0
19a3abdd47715eaac4ecb312fe95d902	0.0	0.0	0.0	29.0
d5a848d2751f4e1a26ceaf96efe826af	20.0	8.0	0.0	0.0
b2f15a6e178a8f0524c007e8cab648db	0.0	0.0	0.0	28.0
524f945306ac2c325b6027df82cc10c2	11.0	0.0	6.0	10.0
146011b4b3b1ac5bd7d8224c5d93209d	11.0	0.0	0.0	16.0
49b77daed66d75fc3b7776abc8755ea7	0.0	27.0	0.0	0.0
64b62e538ce98218630dec9f7de3e872	0.0	15.0	12.0	0.0
05810500448cc3ad7c9d8b11a497f1ca	0.0	26.0	0.0	0.0
687d35fcceb1b41532cb5a1b39978810	0.0	17.0	8.0	0.0
a00207dac8cecfb280ee732df82bf536	0.0	9.0	7.0	9.0
ad16b779f2ec6d8afc200de7c5d2f39a	0.0	7.0	9.0	9.0
dd8229814f2d127e61ac92c5d275db8b	0.0	0.0	25.0	0.0
55171d6a7d2a6277fcaf13baf685e8fd	0.0	0.0	0.0	25.0
73ff0a30a35907b93f8e4e13e4874bf0	14.0	0.0	10.0	0.0
